DATE,UMTMVS
2010-02-01,362439.0
2010-03-01,424203.0
2010-04-01,408902.0
2010-05-01,408799.0
2010-06-01,428819.0
2010-07-01,398302.0
2010-08-01,424860.0
2010-09-01,431329.0
2010-10-01,425072.0
2010-11-01,412464.0
2010-12-01,427075.0
2011-01-01,403211.0
2011-02-01,407684.0
2011-03-01,485327.0
2011-04-01,456422.0
2011-05-01,466496.0
2011-06-01,484994.0
2011-07-01,445432.0
2011-08-01,484300.0
2011-09-01,478009.0
2011-10-01,469514.0
2011-11-01,453233
2011-12-01,457272.0
2012-01-01,435284
2012-02-01,454151
2012-03-01,502968
2012-04-01,472688
2012-05-01,492665
2012-06-01,487714
2012-07-01,453282
2012-08-01,493640
2012-09-01,482320
2012-10-01,491603
2012-11-01,467096
2012-12-01,463317
2013-01-01,447948
2013-02-01,453770
2013-03-01,501722
2013-04-01,481945
2013-05-01,502208
2013-06-01,497211
2013-07-01,473078
2013-08-01,502793
2013-09-01,497700
2013-10-01,502769
2013-11-01,475613
2013-12-01,477370
2014-01-01,452212
2014-02-01,457808
2014-03-01,513946
2014-04-01,496788
2014-05-01,506820
2014-06-01,517141
2014-07-01,488066
2014-08-01,506609
2014-09-01,513098
2014-10-01,505475
2014-11-01,458398
2014-12-01,472646
2015-01-01,424104
2015-02-01,431113
2015-03-01,493365
2015-04-01,469899
2015-05-01,469475
2015-06-01,496586
2015-07-01,454788
2015-08-01,470575
2015-09-01,478931
2015-10-01,466724
2015-11-01,437157
2015-12-01,440316
2016-01-01,399750
2016-02-01,425230
2016-03-01,473035
2016-04-01,441341
2016-05-01,452785
2016-06-01,475935
2016-07-01,422080
2016-08-01,465534
2016-09-01,468036
2016-10-01,452756
2016-11-01,437278
2016-12-01,449836
2017-01-01,418768
2017-02-01,424572
2017-03-01,488013
2017-04-01,445595
2017-05-01,473918
2017-06-01,486462
2017-07-01,435122
2017-08-01,483079
2017-09-01,479778
2017-10-01,479526
2017-11-01,468496
2017-12-01,465466
2018-01-01,448413
2018-02-01,449124
2018-03-01,511670
2018-04-01,482518
2018-05-01,509066
2018-06-01,519475
2018-07-01,475985
2018-08-01,519293
2018-09-01,505644
2018-10-01,514797
2018-11-01,481120
2018-12-01,473559
2019-01-01,451301
2019-02-01,452180
2019-03-01,503895
2019-04-01,482304
2019-05-01,497391
2019-06-01,495891
2019-07-01,464164
2019-08-01,490984
2019-09-01,484317
2019-10-01,487934
2019-11-01,456510
2019-12-01,464322
2020-01-01,439336
2020-02-01,446221
2020-03-01,466840
2020-04-01,381405
2020-05-01,392244
2020-06-01,456354
2020-07-01,440855
2020-08-01,463438
2020-09-01,473838
2020-10-01,474467
2020-11-01,449725
2020-12-01,472075
2021-01-01,443319
2021-02-01,444179
2021-03-01,518296
2021-04-01,489567
2021-05-01,495067
2021-06-01,529007
